motion_id	file	source_pack	category	train_enabled	view_enabled
RL_Avatar_Atk_2xCombo01_Motion	data/motions/reallusion/RL_Avatar_Atk_2xCombo01_Motion.pkl	sword_shield_stunts	combo	true	true
RL_Avatar_Atk_2xCombo02_Motion	data/motions/reallusion/RL_Avatar_Atk_2xCombo02_Motion.pkl	sword_shield_stunts	combo	true	true
RL_Avatar_Atk_2xCombo03_Motion	data/motions/reallusion/RL_Avatar_Atk_2xCombo03_Motion.pkl	sword_shield_stunts	combo	true	true
RL_Avatar_Atk_2xCombo04_Motion	data/motions/reallusion/RL_Avatar_Atk_2xCombo04_Motion.pkl	sword_shield_stunts	combo	true	true
RL_Avatar_Atk_2xCombo05_Motion	data/motions/reallusion/RL_Avatar_Atk_2xCombo05_Motion.pkl	sword_shield_stunts	combo	true	true
RL_Avatar_Atk_3xCombo01_Motion	data/motions/reallusion/RL_Avatar_Atk_3xCombo01_Motion.pkl	sword_shield_stunts	combo	true	true
RL_Avatar_Atk_3xCombo02_Motion	data/motions/reallusion/RL_Avatar_Atk_3xCombo02_Motion.pkl	sword_shield_stunts	combo	true	true
RL_Avatar_Atk_3xCombo03_Motion	data/motions/reallusion/RL_Avatar_Atk_3xCombo03_Motion.pkl	sword_shield_stunts	combo	true	true
RL_Avatar_Atk_3xCombo04_Motion	data/motions/reallusion/RL_Avatar_Atk_3xCombo04_Motion.pkl	sword_shield_stunts	combo	true	true
RL_Avatar_Atk_3xCombo05_Motion	data/motions/reallusion/RL_Avatar_Atk_3xCombo05_Motion.pkl	sword_shield_stunts	combo	true	true
RL_Avatar_Atk_3xCombo06_Motion	data/motions/reallusion/RL_Avatar_Atk_3xCombo06_Motion.pkl	sword_shield_stunts	combo	true	true
RL_Avatar_Atk_3xCombo07_Motion	data/motions/reallusion/RL_Avatar_Atk_3xCombo07_Motion.pkl	sword_shield_stunts	combo	true	true
RL_Avatar_Atk_4xCombo01_Motion	data/motions/reallusion/RL_Avatar_Atk_4xCombo01_Motion.pkl	sword_shield_stunts	combo	true	true
